NAME	DESCRIPTION	SK_MEL_301T	SK_MEL_311AT	SK_MEL_321AT	SK_MEL_337T	SK_MEL_351T	SK_MEL_363T	SK_MEL_381T	SK_MEL_389	SK_MEL_394T	SK_MEL_398T	SK_MEL_430T	SK_MEL_445T	SK_MEL_455T	SK_MEL_539T	SK_MEL_499	SK_MEL_526T	SK_MEL_540	SK_MEL_551AT	SK_MEL_560_2T	SK_MEL_566_1	SK_MEL_574	SK_MEL_581_1T	SK_MEL_598_1T	SK_MEL_641_1
ZNF318	ZNF318	7.2333	5.22122	5.70592	5.14427	3.72832	8.80169	6.93211	3.63376	9.95278	8.84358	15.6514	4.58743	10.4146	6.32769	5.5521	6.7458	7.38594	6.92505	7.06127	7.60952	5.32638	4.64239	5.92185	11.1532
ZNF319	ZNF319	4.63965	3.37576	2.58909	1.65684	3.01112	2.82376	6.45511	2.03428	3.63859	4.73522	4.52354	2.453	3.442	3.26098	2.12369	3.10543	3.08164	4.87505	0.597499	3.90123	1.84236	2.2214	3.51596	2.0478
ZNF32	ZNF32	27.2477	22.3516	20.948	12.3309	14.8685	16.7987	17.871	16.3494	24.2143	15.1245	19.7311	9.465	16.3494	6.08058	14.6087	7.77152	23.0259	11.6698	5.68556	25.057	15.8557	18.4873	16.2926	9.32614
ZNF320	ZNF320	8.74104	4.13835	3.80518	8.28511	4.45971	7.04924	2.6874	2.27985	2.76451	6.67365	5.90669	1.75099	37.5701	12.1751	8.00793	1.50696	7.16071	5.22746	10.4285	0.521835	1.83651	4.34023	6.18568	9.75912
ZNF322	ZNF322	4.23381	4.85041	3.31228	3.33184	3.65798	10.3769	5.33619	6.46091	2.16668	10.0957	2.20611	7.88636	11.9699	5.22414	4.86815	5.67031	5.58915	6.26883	8.32162	6.33294	6.26054	7.19173	4.13832	15.9183
ZNF322P1	ZNF322P1	3.65788	2.91647	2.13504	2.02385	2.7301	6.28031	3.9073	4.09643	1.83674	6.64296	1.62649	5.78429	8.84356	3.84425	3.84317	4.64818	4.50295	4.96214	4.65455	3.87795	4.65782	5.06197	3.09419	11.2931
ZNF324	ZNF324	3.14034	2.12896	2.9781	1.84779	1.83982	2.3945	4.47089	2.11056	1.93618	3.99434	2.2246	1.93116	3.09976	3.09662	2.00121	2.29742	2.22634	2.64932	1.6082	2.20228	1.71115	1.44386	2.62385	3.74821
ZNF324B	ZNF324B	2.6764	1.7001	2.00527	1.08712	1.26957	1.80587	3.44647	1.53826	1.57283	2.70392	1.71005	1.04353	1.93495	1.47919	1.21002	1.01327	1.47796	2.10675	0.943878	1.72993	1.26408	1.10532	2.16845	3.11569
ZNF326	ZNF326	18.2948	9.58002	12.3871	13.4184	7.10671	10.7461	12.8589	10.3201	6.35679	13.2244	6.02832	9.59823	20.2589	15.6604	14.3036	6.02745	10.8304	8.24572	15.0477	15.0756	12.5718	7.42715	5.97233	26.017
ZNF329	ZNF329	9.43798	3.03186	3.75706	1.84194	2.30692	3.81115	2.69775	1.91777	2.91063	3.72798	3.22496	1.8238	4.49438	2.74289	2.65624	2.77657	5.78918	2.92048	3.31694	3.76963	2.62788	2.44966	3.08745	2.46294
